# Created by WannierIO.jl 2024-01-31T16:59:54.076
36
51
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -4   -2    0    1    1    0.001567    0.000619
   -4   -2    0    2    1    0.000000    0.000000
   -4   -2    0    3    1    0.000000    0.000000
   -4   -2    0    4    1    0.000000    0.000000
   -4   -2    0    5    1    0.000000    0.000000
   -4   -2    0    6    1    0.000000    0.000000
   -4   -2    0    7    1    0.000000    0.000000
   -4   -2    0    8    1    0.000000    0.000000
   -4   -2    0    9    1    0.000000    0.000000
   -4   -2    0   10    1    0.000000    0.000000
   -4   -2    0   11    1    0.000000    0.000000
   -4   -2    0   12    1    0.000000    0.000000
   -4   -2    0   13    1   -0.000747    0.000709
   -4   -2    0   14    1   -0.000492    0.001164
   -4   -2    0   15    1    0.001271   -0.000362
   -4   -2    0   16    1    0.001561    0.001025
   -4   -2    0   17    1    0.000003    0.000332
   -4   -2    0   18    1   -0.000515   -0.000681
   -4   -2    0   19    1    0.000761   -0.001522
   -4   -2    0   20    1    0.000835   -0.001136
   -4   -2    0   21    1    0.000000    0.000000
   -4   -2    0   22    1    0.000000    0.000000
   -4   -2    0   23    1    0.000000    0.000000
   -4   -2    0   24    1    0.000000    0.000000
   -4   -2    0   25    1    0.000000    0.000000
   -4   -2    0   26    1    0.000000    0.000000
   -4   -2    0   27    1    0.000000    0.000000
   -4   -2    0   28    1    0.000000    0.000000
   -4   -2    0   29    1    0.000000    0.000000
   -4   -2    0   30    1    0.000000    0.000000
   -4   -2    0   31    1    0.000000    0.000000
   -4   -2    0   32    1    0.000000    0.000000
   -4   -2    0   33    1    0.000000    0.000000
   -4   -2    0   34    1    0.000000    0.000000
   -4   -2    0   35    1    0.000000    0.000000
   -4   -2    0   36    1    0.000000    0.000000
   -4   -2    0    1    2   -0.000504    0.003695
   -4   -2    0    2    2    0.000063   -0.000383
   -4   -2    0    3    2    0.000000    0.000000
   -4   -2    0    4    2    0.000000    0.000000
   -4   -2    0    5    2    0.000000    0.000000
   -4   -2    0    6    2    0.000000    0.000000
   -4   -2    0    7    2    0.000000    0.000000
   -4   -2    0    8    2    0.000000    0.000000
   -4   -2    0    9    2    0.000000    0.000000
   -4   -2    0   10    2    0.000000    0.000000
   -4   -2    0   11    2    0.000000    0.000000
   -4   -2    0   12    2    0.000000    0.000000
   -4   -2    0   13    2   -0.000587    0.000669
   -4   -2    0   14    2   -0.000416    0.000839
   -4   -2    0   15    2   -0.000307   -0.000446
   -4   -2    0   16    2   -0.000092    0.000144
   -4   -2    0   17    2   -0.000170    0.000155
   -4   -2    0   18    2    0.000262   -0.000179
   -4   -2    0   19    2    0.000460    0.000497
   -4   -2    0   20    2    0.000608    0.000274
   -4   -2    0   21    2    0.000000    0.000000
   -4   -2    0   22    2    0.000000    0.000000
   -4   -2    0   23    2    0.000000    0.000000
   -4   -2    0   24    2    0.000000    0.000000
   -4   -2    0   25    2    0.000000    0.000000
   -4   -2    0   26    2    0.000000    0.000000
   -4   -2    0   27    2    0.000000    0.000000
   -4   -2    0   28    2    0.000000    0.000000
   -4   -2    0   29    2    0.000000    0.000000
   -4   -2    0   30    2    0.000000    0.000000
   -4   -2    0   31    2    0.000000    0.000000
   -4   -2    0   32    2    0.000000    0.000000
   -4   -2    0   33    2    0.000000    0.000000
   -4   -2    0   34    2    0.000000    0.000000
   -4   -2    0   35    2    0.000000    0.000000
   -4   -2    0   36    2    0.000000    0.000000
   -4   -2    0    1    3    0.000000    0.000000
   -4   -2    0    2    3    0.000000    0.000000
   -4   -2    0    3    3    0.000183   -0.000385
   -4   -2    0    4    3    0.000000    0.000000
   -4   -2    0    5    3    0.000000    0.000000
   -4   -2    0    6    3    0.000000    0.000000
   -4   -2    0    7    3    0.000000    0.000000
   -4   -2    0    8    3    0.000000    0.000000
   -4   -2    0    9    3    0.000000    0.000000
   -4   -2    0   10    3    0.000000    0.000000
   -4   -2    0   11    3    0.000000    0.000000
   -4   -2    0   12    3    0.000000    0.000000
   -4   -2    0   13    3   -0.000068    0.000116
   -4   -2    0   14    3   -0.000668    0.000189
   -4   -2    0   15    3    0.000330    0.000237
   -4   -2    0   16    3   -0.000211    0.000483
   -4   -2    0   17    3   -0.000082    0.000202
   -4   -2    0   18    3   -0.000398   -0.000456
   -4   -2    0   19    3   -0.000238    0.000258
   -4   -2    0   20    3   -0.000224    0.000507
   -4   -2    0   21    3    0.000000    0.000000
   -4   -2    0   22    3    0.000000    0.000000
   -4   -2    0   23    3    0.000000    0.000000
   -4   -2    0   24    3    0.000000    0.000000
   -4   -2    0   25    3    0.000000    0.000000
   -4   -2    0   26    3    0.000000    0.000000
   -4   -2    0   27    3    0.000000    0.000000
   -4   -2    0   28    3    0.000000    0.000000
   -4   -2    0   29    3    0.000000    0.000000
   -4   -2    0   30    3    0.000000    0.000000
   -4   -2    0   31    3    0.000000    0.000000
   -4   -2    0   32    3    0.000000    0.000000
   -4   -2    0   33    3    0.000000    0.000000
   -4   -2    0   34    3    0.000000    0.000000
   -4   -2    0   35    3    0.000000    0.000000
   -4   -2    0   36    3    0.000000    0.000000
   -4   -2    0    1    4   -0.000070    0.001463
   -4   -2    0    2    4    0.000000    0.000000
   -4   -2    0    3    4    0.000000    0.000000
   -4   -2    0    4    4   -0.000232   -0.000375
   -4   -2    0    5    4    0.000000    0.000000
   -4   -2    0    6    4    0.000000    0.000000
   -4   -2    0    7    4    0.000000    0.000000
   -4   -2    0    8    4    0.000000    0.000000
   -4   -2    0    9    4    0.000000    0.000000
   -4   -2    0   10    4    0.000000    0.000000
   -4   -2    0   11    4    0.000000    0.000000
   -4   -2    0   12    4    0.000000    0.000000
   -4   -2    0   13    4   -0.000149   -0.000445
   -4   -2    0   14    4   -0.000133   -0.000630
   -4   -2    0   15    4   -0.000206    0.000361
   -4   -2    0   16    4   -0.000473    0.000180
   -4   -2    0   17    4   -0.000233   -0.000094
   -4   -2    0   18    4    0.000160    0.000414
   -4   -2    0   19    4   -0.000361    0.000380
   -4   -2    0   20    4   -0.000890    0.000331
   -4   -2    0   21    4    0.000000    0.000000
   -4   -2    0   22    4    0.000000    0.000000
   -4   -2    0   23    4    0.000000    0.000000
   -4   -2    0   24    4    0.000000    0.000000
   -4   -2    0   25    4    0.000000    0.000000
   -4   -2    0   26    4    0.000000    0.000000
   -4   -2    0   27    4    0.000000    0.000000
   -4   -2    0   28    4    0.000000    0.000000
   -4   -2    0   29    4    0.000000    0.000000
   -4   -2    0   30    4    0.000000    0.000000
   -4   -2    0   31    4    0.000000    0.000000
   -4   -2    0   32    4    0.000000    0.000000
   -4   -2    0   33    4    0.000000    0.000000
   -4   -2    0   34    4    0.000000    0.000000
   -4   -2    0   35    4    0.000000    0.000000
   -4   -2    0   36    4    0.000000    0.000000
   -4   -2    0    1    5    0.000000    0.000000
   -4   -2    0    2    5    0.000000    0.000000
   -4   -2    0    3    5    0.000000    0.000000
   -4   -2    0    4    5    0.000000    0.000000
   -4   -2    0    5    5   -0.000394    0.000161
   -4   -2    0    6    5    0.000000    0.000000
   -4   -2    0    7    5    0.000000    0.000000
   -4   -2    0    8    5    0.000000    0.000000
   -4   -2    0    9    5    0.000000    0.000000
   -4   -2    0   10    5    0.000000    0.000000
   -4   -2    0   11    5    0.000000    0.000000
   -4   -2    0   12    5    0.000000    0.000000
   -4   -2    0   13    5   -0.000174    0.000318
   -4   -2    0   14    5   -0.000406    0.000762
   -4   -2    0   15    5    0.000876    0.000093
   -4   -2    0   16    5   -0.000060    0.000270
   -4   -2    0   17    5    0.000056    0.000458
   -4   -2    0   18    5   -0.000371   -0.000773
   -4   -2    0   19    5   -0.000430   -0.000002
   -4   -2    0   20    5   -0.000005   -0.000132
   -4   -2    0   21    5    0.000000    0.000000
   -4   -2    0   22    5    0.000000    0.000000
   -4   -2    0   23    5    0.000000    0.000000
   -4   -2    0   24    5    0.000000    0.000000
   -4   -2    0   25    5    0.000000    0.000000
   -4   -2    0   26    5    0.000000    0.000000
   -4   -2    0   27    5    0.000000    0.000000
   -4   -2    0   28    5    0.000000    0.000000
   -4   -2    0   29    5    0.000000    0.000000
   -4   -2    0   30    5    0.000000    0.000000
   -4   -2    0   31    5    0.000000    0.000000
   -4   -2    0   32    5    0.000000    0.000000
   -4   -2    0   33    5    0.000000    0.000000
   -4   -2    0   34    5    0.000000    0.000000
   -4   -2    0   35    5    0.000000    0.000000
   -4   -2    0   36    5    0.000000    0.000000
   -4   -2    0    1    6    0.000112   -0.000835
   -4   -2    0    2    6   -0.001224    0.001141
   -4   -2    0    3    6    0.000000    0.000000
   -4   -2    0    4    6    0.000561    0.001516
   -4   -2    0    5    6    0.000000    0.000000
   -4   -2    0    6    6   -0.000533   -0.000445
   -4   -2    0    7    6    0.000000    0.000000
   -4   -2    0    8    6    0.000000    0.000000
   -4   -2    0    9    6    0.000000    0.000000
   -4   -2    0   10    6    0.000000    0.000000
   -4   -2    0   11    6    0.000000    0.000000
   -4   -2    0   12    6    0.000000    0.000000
   -4   -2    0   13    6    0.000164    0.000073
   -4   -2    0   14    6    0.000740   -0.000321
   -4   -2    0   15    6    0.000179   -0.000311
   -4   -2    0   16    6    0.000236   -0.000195
   -4   -2    0   17    6    0.000130   -0.000040
   -4   -2    0   18    6   -0.000250    0.000358
   -4   -2    0   19    6    0.000450    0.000248
   -4   -2    0   20    6    0.000805    0.000331
   -4   -2    0   21    6    0.000000    0.000000
   -4   -2    0   22    6    0.000000    0.000000
   -4   -2    0   23    6    0.000000    0.000000
   -4   -2    0   24    6    0.000000    0.000000
   -4   -2    0   25    6    0.000000    0.000000
   -4   -2    0   26    6    0.000000    0.000000
   -4   -2    0   27    6    0.000000    0.000000
   -4   -2    0   28    6    0.000000    0.000000
   -4   -2    0   29    6    0.000000    0.000000
   -4   -2    0   30    6    0.000000    0.000000
   -4   -2    0   31    6    0.000000    0.000000
   -4   -2    0   32    6    0.000000    0.000000
   -4   -2    0   33    6    0.000000    0.000000
   -4   -2    0   34    6    0.000000    0.000000
   -4   -2    0   35    6    0.000000    0.000000
   -4   -2    0   36    6    0.000000    0.000000
   -4   -2    0    1    7    0.017994   -0.003698
   -4   -2    0    2    7    0.003823    0.003748
   -4   -2    0    3    7   -0.001181    0.000413
   -4   -2    0    4    7    0.000000    0.000000
   -4   -2    0    5    7    0.001104    0.001140
   -4   -2    0    6    7    0.000000    0.000000
   -4   -2    0    7    7    0.000038   -0.000661
   -4   -2    0    8    7    0.005690    0.000463
   -4   -2    0    9    7    0.000000    0.000000
   -4   -2    0   10    7   -0.000963    0.000493
   -4   -2    0   11    7    0.000000    0.000000
   -4   -2    0   12    7   -0.000083    0.000858
   -4   -2    0   13    7    0.002607    0.000116
   -4   -2    0   14    7    0.002890    0.000003
   -4   -2    0   15    7    0.001003    0.000006
   -4   -2    0   16    7    0.002477   -0.000585
   -4   -2    0   17    7    0.002728   -0.000504
   -4   -2    0   18    7   -0.002283    0.000985
   -4   -2    0   19    7    0.002732   -0.000454
   -4   -2    0   20    7   -0.002902   -0.000621
   -4   -2    0   21    7    0.002113   -0.000478
   -4   -2    0   22    7   -0.000474    0.000973
   -4   -2    0   23    7   -0.000248   -0.000821
   -4   -2    0   24    7    0.002230    0.000699
   -4   -2    0   25    7    0.000000    0.000000
   -4   -2    0   26    7    0.000000    0.000000
   -4   -2    0   27    7    0.000000    0.000000
   -4   -2    0   28    7    0.000000    0.000000
   -4   -2    0   29    7    0.002269   -0.000360
   -4   -2    0   30    7    0.001263   -0.000200
   -4   -2    0   31    7    0.001814   -0.000190
   -4   -2    0   32    7   -0.002153   -0.001074
   -4   -2    0   33    7    0.000000    0.000000
   -4   -2    0   34    7    0.000000    0.000000
   -4   -2    0   35    7    0.000000    0.000000
   -4   -2    0   36    7    0.000000    0.000000
   -4   -2    0    1    8    0.001596    0.003710
   -4   -2    0    2    8    0.000000    0.000000
   -4   -2    0    3    8    0.000248    0.001028
   -4   -2    0    4    8    0.000000    0.000000
   -4   -2    0    5    8   -0.000290    0.000760
   -4   -2    0    6    8    0.000000    0.000000
   -4   -2    0    7    8    0.000000    0.000000
   -4   -2    0    8    8    0.000510    0.000222
   -4   -2    0    9    8    0.000000    0.000000
   -4   -2    0   10    8    0.000401    0.000489
   -4   -2    0   11    8    0.000000    0.000000
   -4   -2    0   12    8   -0.000155    0.000656
   -4   -2    0   13    8    0.000302    0.000704
   -4   -2    0   14    8    0.000403    0.000876
   -4   -2    0   15    8    0.000677    0.000099
   -4   -2    0   16    8    0.000395   -0.000091
   -4   -2    0   17    8    0.000528    0.000298
   -4   -2    0   18    8   -0.000510   -0.000640
   -4   -2    0   19    8   -0.000137    0.000836
   -4   -2    0   20    8   -0.000884   -0.000330
   -4   -2    0   21    8    0.000033    0.000636
   -4   -2    0   22    8    0.000321   -0.000803
   -4   -2    0   23    8    0.000137    0.000308
   -4   -2    0   24    8    0.000066    0.000229
   -4   -2    0   25    8    0.000000    0.000000
   -4   -2    0   26    8    0.000000    0.000000
   -4   -2    0   27    8    0.000000    0.000000
   -4   -2    0   28    8    0.000000    0.000000
   -4   -2    0   29    8    0.000210    0.000524
   -4   -2    0   30    8    0.000025    0.000431
   -4   -2    0   31    8    0.000242    0.000715
   -4   -2    0   32    8    0.000535    0.000240
   -4   -2    0   33    8    0.000000    0.000000
   -4   -2    0   34    8    0.000000    0.000000
   -4   -2    0   35    8    0.000000    0.000000
   -4   -2    0   36    8    0.000000    0.000000
   -4   -2    0    1    9   -0.001366    0.000572
   -4   -2    0    2    9   -0.000362   -0.000155
   -4   -2    0    3    9    0.002727   -0.000006
   -4   -2    0    4    9    0.000565    0.000031
   -4   -2    0    5    9    0.001680   -0.000107
   -4   -2    0    6    9    0.000000    0.000000
   -4   -2    0    7    9    0.000000    0.000000
   -4   -2    0    8    9   -0.000056    0.000008
   -4   -2    0    9    9    0.000105    0.000151
   -4   -2    0   10    9   -0.000824    0.000032
   -4   -2    0   11    9    0.000000    0.000000
   -4   -2    0   12    9    0.000499   -0.000164
   -4   -2    0   13    9    0.000246    0.000039
   -4   -2    0   14    9    0.000099    0.000379
   -4   -2    0   15    9   -0.001330    0.000174
   -4   -2    0   16    9    0.000011   -0.000030
   -4   -2    0   17    9    0.000016   -0.000135
   -4   -2    0   18    9   -0.000466   -0.000341
   -4   -2    0   19    9    0.000090    0.000545
   -4   -2    0   20    9   -0.000054    0.000209
   -4   -2    0   21    9   -0.000421    0.000368
   -4   -2    0   22    9    0.000519   -0.000204
   -4   -2    0   23    9    0.000614    0.000670
   -4   -2    0   24    9   -0.000151    0.000454
   -4   -2    0   25    9    0.000000    0.000000
   -4   -2    0   26    9    0.000000    0.000000
   -4   -2    0   27    9    0.000000    0.000000
   -4   -2    0   28    9    0.000000    0.000000
   -4   -2    0   29    9   -0.000109    0.000202
   -4   -2    0   30    9   -0.000152    0.000099
   -4   -2    0   31    9   -0.000270   -0.000004
   -4   -2    0   32    9   -0.001029    0.000633
   -4   -2    0   33    9    0.000000    0.000000
   -4   -2    0   34    9    0.000000    0.000000
   -4   -2    0   35    9    0.000000    0.000000
   -4   -2    0   36    9    0.000000    0.000000
   -4   -2    0    1   10    0.000000    0.000000
   -4   -2    0    2   10    0.000000    0.000000
   -4   -2    0    3   10    0.000000    0.000000
   -4   -2    0    4   10    0.000000    0.000000
   -4   -2    0    5   10   -0.001120    0.000122
   -4   -2    0    6   10    0.000000    0.000000
   -4   -2    0    7   10    0.000000    0.000000
   -4   -2    0    8   10    0.000000    0.000000
   -4   -2    0    9   10    0.000000    0.000000
   -4   -2    0   10   10   -0.000283   -0.000057
   -4   -2    0   11   10    0.000000    0.000000
   -4   -2    0   12   10    0.000000    0.000000
   -4   -2    0   13   10   -0.000838   -0.000073
   -4   -2    0   14   10   -0.001012   -0.000042
   -4   -2    0   15   10    0.001429    0.000853
   -4   -2    0   16   10    0.000092    0.000037
   -4   -2    0   17   10   -0.000572   -0.000077
   -4   -2    0   18   10    0.000505    0.000084
   -4   -2    0   19   10   -0.000085   -0.000229
   -4   -2    0   20   10   -0.000065   -0.000266
   -4   -2    0   21   10    0.000051   -0.000124
   -4   -2    0   22   10    0.000047    0.000471
   -4   -2    0   23   10   -0.000332    0.000063
   -4   -2    0   24   10    0.000232   -0.000168
   -4   -2    0   25   10    0.000000    0.000000
   -4   -2    0   26   10    0.000000    0.000000
   -4   -2    0   27   10    0.000000    0.000000
   -4   -2    0   28   10    0.000000    0.000000
   -4   -2    0   29   10   -0.000750    0.000047
   -4   -2    0   30   10   -0.000753    0.000053
   -4   -2    0   31   10    0.000154    0.000157
   -4   -2    0   32   10    0.000311   -0.000134
   -4   -2    0   33   10    0.000000    0.000000
   -4   -2    0   34   10    0.000000    0.000000
   -4   -2    0   35   10    0.000000    0.000000
   -4   -2    0   36   10    0.000000    0.000000
   -4   -2    0    1   11    0.003288    0.001029
   -4   -2    0    2   11    0.000311   -0.000728
   -4   -2    0    3   11    0.001423   -0.000223
   -4   -2    0    4   11    0.000833    0.000534
   -4   -2    0    5   11    0.000116   -0.000748
   -4   -2    0    6   11   -0.001487   -0.000614
   -4   -2    0    7   11    0.000000    0.000000
   -4   -2    0    8   11    0.000070   -0.000586
   -4   -2    0    9   11    0.000000    0.000000
   -4   -2    0   10   11    0.000856    0.000689
   -4   -2    0   11   11   -0.000564    0.000049
   -4   -2    0   12   11   -0.000840   -0.000662
   -4   -2    0   13   11    0.000860    0.000279
   -4   -2    0   14   11    0.000537    0.000347
   -4   -2    0   15   11   -0.000757   -0.000244
   -4   -2    0   16   11   -0.000002    0.000352
   -4   -2    0   17   11    0.001100    0.000163
   -4   -2    0   18   11   -0.001561   -0.000359
   -4   -2    0   19   11    0.000397   -0.000075
   -4   -2    0   20   11   -0.000379    0.000044
